Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
258,Downtown,444.250000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"N8JSN near Grand Rapids, Kent County, Michigan OPEN",,,,
259,N8WKN,444.325000,+,5.000000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8WKN near Grand Rapids, Kent County, Michigan OPEN",,,,
260,W8DC,444.400000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8DC near Grand Rapids, Kent County, Michigan OPEN",,,,
261,KD8RXD,444.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"KD8RXD near Byron Center, Kent County, Michigan OPEN c-Bridge partner with DMR-MARC",,,,
262,W8VY,147.000000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8VY near Kalamazoo, Kalamazoo County, Michigan OPEN For Downtown Kalamazoo and Richland use PL tone 127.3 Hz.",,,,
263,Leota,444.900000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8QVX near Harrison, Clare County, Michigan OPEN",,,,
264,KE8OHG,146.840000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KE8OHG near Prudenville, Roscommon County, Michigan OPEN",,,,
265,Glen Oaks CC,145.310000,-,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"K8SJC near Centreville, Saint Joseph County, Michigan OPEN",,,,
266,Red Cross Bldg,224.300000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8VY near Oshtemo, Kalamazoo County, Michigan OPEN",,,,
267,WB8ZIR,145.490000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WB8ZIR near Barton City, Alcona County, Michigan OPEN",,,,
268,Glen Oaks CC,442.150000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8BRO near Centreville, Saint Joseph County, Michigan OPEN",,,,
269,K8WM,145.410000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8WM near Grand Rapids, Kent County, Michigan OPEN",,,,
270,KE8GLB,145.390000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KE8GLB near Houghton Lake, Roscommon County, Michigan OPEN",,,,
271,W8USA,145.230000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"W8USA near Sparta, Kent County, Michigan OPEN",,,,
272,K8TB,147.100000,+,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8TB near Jenison, Ottawa County, Michigan OPEN",,,,
273,Ferris State University,443.900000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KB8QOI near Big Rapids, Mecosta County, Michigan OPEN",,,,
274,W8IRA,145.290000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8IRA near Big Rapids, Mecosta County, Michigan OPEN",,,,
275,KD8RXD,442.212500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"KD8RXD near Kent City, Kent County, Michigan OPEN c-Bridge partner with DMR-MARC",,,,
276,N9KOP,145.350000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N9KOP near Mio, Oscoda County, Michigan OPEN",,,,
277,K8DDX,444.975000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K8DDX near Mio, Oscoda County, Michigan OPEN",,,,
278,AC8RC,147.240000,+,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"AC8RC near Allegan, Allegan County, Michigan OPEN",,,,
279,K8TB,442.250000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"K8TB near Hudsonville, Ottawa County, Michigan OPEN",,,,
280,K8IHY,444.900000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8IHY near Hudsonville, Ottawa County, Michigan OPEN",,,,
281,N8QOP,145.450000,-,0.600000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8QOP near Roscommon, Roscommon County, Michigan OPEN",,,,
282,N8QOP,443.100000,+,5.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8QOP near Roscommon, Roscommon County, Michigan OPEN",,,,
283,AC8DX,147.200000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AC8DX near Gobles, Van Buren County, Michigan OPEN",,,,
284,WDEE Tower,146.740000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KB8QOI near Big Rapids, Mecosta County, Michigan OPEN",,,,
